,precision,recall,f1-score,support
0,0.6107784431137725,0.6283367556468172,0.6194331983805668,487.0
1,0.7354596622889306,0.7438330170777988,0.7396226415094339,527.0
2,0.570230607966457,0.5483870967741935,0.5590955806783144,496.0
3,0.6619144602851323,0.655241935483871,0.6585612968591692,496.0
4,0.6147186147186147,0.5399239543726235,0.5748987854251012,526.0
5,0.5606617647058824,0.6314699792960663,0.5939629990262901,483.0
6,0.592,0.656319290465632,0.6225026288117771,451.0
7,0.5597722960151803,0.5717054263565892,0.5656759348034516,516.0
8,0.6116071428571429,0.5469061876247505,0.5774499473129611,501.0
9,0.5454545454545454,0.5454545454545454,0.5454545454545454,495.0
accuracy,0.6064684612294095,0.6064684612294095,0.6064684612294095,0.6064684612294095
macro avg,0.6062597537405658,0.6067578188552887,0.6056657558261611,4978.0
weighted avg,0.607185939069035,0.6064684612294095,0.6059910992698246,4978.0
