,precision,recall,f1-score,support
0,0.5620300751879699,0.6139630390143738,0.5868498527968596,487.0
1,0.7238658777120316,0.6963946869070209,0.7098646034816247,527.0
2,0.5323275862068966,0.49798387096774194,0.5145833333333333,496.0
3,0.561525129982669,0.6532258064516129,0.6039142590866728,496.0
4,0.6814159292035398,0.4391634980988593,0.5341040462427745,526.0
5,0.556420233463035,0.5921325051759835,0.5737211634904714,483.0
6,0.5956989247311828,0.614190687361419,0.6048034934497817,451.0
7,0.6016427104722792,0.5678294573643411,0.584247258225324,516.0
8,0.5930735930735931,0.5469061876247505,0.569055036344756,501.0
9,0.4326465927099842,0.5515151515151515,0.4849023090586146,495.0
accuracy,0.5767376456408196,0.5767376456408196,0.5767376456408196,0.5767376456408196
macro avg,0.5840646652743182,0.5773304890481255,0.5766045355510212,4978.0
weighted avg,0.5856389011858751,0.5767376456408196,0.5769539086901695,4978.0
